raw_alt,region,source,titre,prix,surface_m2,rooms,localisation,code_postal,ville
Appartement à vendre 368 000 € 3 pièces 2 chambres 85 m² Étage 1/7 Centre Lille 59000,Hauts-de-France,logicimmo,,368000.0,85.0,3.0,,,
Appartement à vendre 96 300 € 3 pièces 2 chambres 65 m² 10ème étage Hem 59510,Hauts-de-France,logicimmo,,96300.0,65.0,3.0,,,
"Appartement à vendre - neuf 194 000 € 2 pièces 1 chambre 41,3 m² 2ème étage Rigollot-Roublot-Carrières Fontenay-sous-Bois 94120",Hauts-de-France,logicimmo,,194000.0,41.3,2.0,,,
"Maison de plain-pied à vendre 378 000 € 6 pièces 5 chambres 136,6 m² 622 m² de terrain Le Mesnil en Thelle 60530",Hauts-de-France,logicimmo,,378000.0,136.6,6.0,,,
"Appartement à vendre - neuf 299 000 € 2 pièces 1 chambre 53,1 m² RDC/3 Centre Ville Wambrechies 59118",Hauts-de-France,logicimmo,,299000.0,53.1,2.0,,,
"Appartement à vendre - neuf 173 400 € 2 pièces 1 chambre 41,5 m² dès le 30/06/2026 Centre-Plat Vinage Roncq 59223",Hauts-de-France,logicimmo,,173400.0,41.5,2.0,,,
Appartement à vendre 249 000 € 4 pièces 3 chambres 86 m² Étage 2/8 Vauban Esquermes Lille 59000,Hauts-de-France,logicimmo,,249000.0,86.0,4.0,,,
"Appartement à vendre - neuf 1 320 000 € 4 pièces 3 chambres 92,9 m² 2ème étage Littoral Le Touquet-Paris-Plage 62520",Hauts-de-France,logicimmo,,1320000.0,92.9,4.0,,,
Appartement à vendre - neuf 470 000 € 4 pièces 3 chambres 75 m² dès le 31/03/2027 Stella Cucq 62780,Hauts-de-France,logicimmo,,470000.0,75.0,4.0,,,
"Maison de ville à vendre 275 000 € 5 pièces 4 chambres 134,5 m² 127 m² de terrain Ancien Mons Mons-en-Baroeul 59370",Hauts-de-France,logicimmo,,275000.0,134.5,5.0,,,
"Appartement à vendre 1 200 000 € 7 pièces 4 chambres 281,4 m² RDC/1 Centre Lille 59000",Hauts-de-France,logicimmo,,1200000.0,281.4,7.0,,,
MAISONS SESAME,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 240 267 € 4 pièces 3 chambres 73 m² 396 m² de terrain Le Plessis-Belleville 60330,Hauts-de-France,logicimmo,,240267.0,73.0,4.0,,,
