address,lat,lon
"JOINVILLE, 94340, France",48.4433253,5.1377537
"FONTAINE, 14790, France",48.21322,4.71393
"ROMAINVILLE, 93230, France",48.8852958,2.4358326
"FRANQUEVILLE, 76520, France",49.8108333,3.8102778
"SURESNES, 92150, France",48.8709053,2.2255727
"SOISY, 95230, France",48.9875044,2.3002885
"KINGERSHEIM, 68260, France",47.7923002,7.3386856
"THIVERVAL, 78850, France",48.8495377,1.9169094
"CORMEILLES, 95240, France",49.6390754,2.1917033
"BLODELSHEIM, 68740, France",47.8861417,7.5393029
"BOULOGNE, 92100, France",48.8356649,2.240206
"CERISY, 50210, France",49.0249556,-1.2792487
"SEINE, 94400, France",48.7876,2.39164
"SAINT, 50810, France",49.1121426,-1.0347135
"MONTFERMEIL, 93370, France",48.8992679,2.5660399
"DÉVILLE, 76250, France",49.4695338,1.0495889
"TOUQUES, 14800, France",49.343477,0.1016715
"ÉPRON, 14610, France",49.2227442,-0.3710407
"TROUVILLE, 14360, France",49.3679823,0.0809113
"LISIEUX, 14100, France",49.1460831,0.2255168
"HAVRE, 76600, France",49.4966096,0.1294067
"DUCLAIR, 76480, France",49.482563,0.8754968
"VILLERS, 14640, France",49.3214437,-0.0052517
"FLEURY, 14123, France",50.42199,2.25386
"ROUEN, 76100, France",49.4452254,1.0913423
"BRETAGNE, 35120, France",,
"MONDEVILLE, 14120, France",49.1770906,-0.3200702
"ANDELYS, 27700, France",49.2469193,1.4215534
"BOIS, 76230, France",45.4888007,-0.5994643
"COURSEULLES, 14470, France",49.3203447,-0.452157
"BIHOREL, 76420, France",49.4543405,1.1159756
"HONFLEUR, 14600, France",49.4197222,0.2338889
"GRANVILLE, 50400, France",48.8376296,-1.5959177
"IFS, 14123, France",49.1380679,-0.3496385
"SAINT, 77310, France",48.5644887,2.5426604
"IVRY, 27540, France",48.8852099,1.4579416
"BERNAY, 27300, France",49.0902278,0.5989157
"MONT, 76130, France",,
"MER, 14910, France",,
"VERNON, 27200, France",49.0932008,1.4857205
"TOURVILLE, 76400, France",49.713794,0.3997245
"OISSEL, 76350, France",49.3424375,1.0957098
"SAINT, 76490, France",49.5300735,0.7678025
"HARENGÈRE, 27370, France",49.2318166,0.9969802
"GISORS, 27140, France",49.2789504,1.777826
"YVETOT, 76190, France",49.6179384,0.7538866
"SEINE, 95220, France",48.9898588,2.166162
"MESNIL, 76240, France",49.4119899,1.1391732
"SAINT, 27450, France",49.2990471,0.546095
"SAINT, 78470, France",48.7028614,2.0709476
"SOTTEVILLE, 76300, France",49.4128474,1.1023879
"PONT, 14130, France",47.1777278,5.3147014
"COTENTIN, 50100, France",49.6333457,-1.6207141
"GAILLON, 27600, France",49.1605604,1.3336126
"PLAGE, 14810, France",49.2788,-0.2036861
"BENERVILLE, 14910, France",49.3427767,0.0371362
"SAINT, 76510, France",49.8292585,1.291434
"BAYEUX, 14400, France",49.2764624,-0.7024738
"CHERBOURG, 50120, France",49.6425343,-1.6249565
"CHERBOURG, 50100, France",49.6334628,-1.6211702
"DONVILLE, 50350, France",48.8488845,-1.5813204
"NOTRE, 76960, France",49.4883509,1.0487027
"BLANGY, 14130, France",49.245,0.2744444
"EGLISE, 50330, France",49.6947006,-1.4083333
"COUTURE, 27750, France",48.898003,1.4059381
"RIVIÈRE, 14600, France",,
"SEINE, 92200, France",48.884683,2.2695658
"PACY, 27120, France",49.0141954,1.38128
"ÉVRECY, 14210, France",49.0999195,-0.5011439
"MAROMME, 76150, France",49.476737,1.0308208
"MER, 14160, France",,
"SAINT, 37540, France",47.4187238,0.6665746
"SAUSSAYE, 27370, France",49.2555228,0.9787365
"VAL, 27100, France",49.2838807,1.2210511
"BARQUET, 27170, France",49.0448459,0.85786
"MESNIL, 27330, France",48.9336237,0.5687229
"SAINT, 27950, France",49.110737,1.4314333
"ISNEAUVILLE, 76230, France",49.4988394,1.1416384
"FORET, 92360, France",48.7876528,2.2281028
"SAUVEUR, 14600, France",49.4076106,0.2716348
"VIRE, 14500, France",48.8385198,-0.8893293
"LION, 14780, France",,
"BARVILLE, 76450, France",49.7723369,0.6406993
"CARTERET, 50270, France",49.3778728,-1.7869507
"OCTEVILLE, 50100, France",49.6254784,-1.6448063
"THIBERVILLE, 27230, France",49.1390278,0.4552511
"PETIT, 76650, France",49.3749799,1.0274071
"BACILLY, 50530, France",48.7006867,-1.441434
"LOUVIGNY, 14111, France",49.1565383,-0.3937312
"ROCQUEMONT, 76680, France",49.6034549,1.2823533
"GUERN, 56310, France",48.0301914,-3.0913751
"HAYE, 50250, France",49.2910526,-1.545089
"CABOURG, 14390, France",49.2934373,-0.1155085
"MAISY, 14450, France",49.381222,-1.0556758
"BOURGTHEROULDE, 27520, France",49.2992811,0.878065
"ROGER, 27170, France",,
"CARENTAN, 50500, France",49.2947659,-1.2523119
"VILLE, 37700, France",,
"EURE, 27120, France",49.0756358,0.9651829
"DARNÉTAL, 76160, France",49.4449083,1.1519145
"RISLE, 27170, France",49.0455744,0.8015148
