region,source,raw_alt,titre,localisation,prix_extracted,surface_m2_extracted,rooms_extracted,code_postal_extracted,ville_extracted_cleaned,commune_from_cp,ville_finale,marche_neuf_ancien,price_m2,nom_commune,code_insee
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 162 000 € 1 pièce 31,2 m² dès le 22/05/2028 Sainte Helene Saint-André-Lez-Lille 59350",,,162000.0,31.2,1.0,59350,SAINT,ST ANDRE LEZ LILLE,ST ANDRE LEZ LILLE,neuf,5192.307692307692,ST ANDRE LEZ LILLE,59527
Hauts-de-France,logicimmo,"Terrain avec maison neuve à vendre 290 000 € 6 pièces 3 chambres 98,3 m² 704 m² de terrain Fosseuse 60540",,,290000.0,98.3,6.0,60540,FOSSEUSE,BELLE EGLISE,BELLE EGLISE,ancien,2950.152594099695,BELLE EGLISE,60060
Hauts-de-France,logicimmo,Appartement à vendre - neuf 154 000 € 2 pièces 1 chambre 46 m² Montignette Pont-Sainte-Maxence 60700,,,154000.0,46.0,2.0,60700,PONT,LES AGEUX,LES AGEUX,neuf,3347.8260869565215,LES AGEUX,60006
Hauts-de-France,logicimmo,Appartement à vendre - neuf 249 000 € 3 pièces 63 m² Reservoirs Compiegne 60200,,,249000.0,63.0,3.0,60200,COMPIEGNE,COMPIEGNE,COMPIEGNE,neuf,3952.3809523809523,COMPIEGNE,60159
Hauts-de-France,logicimmo,"Maison à vendre 274 500 € 4 pièces 3 chambres 81,7 m² 851 m² de terrain Chambly 60230",,,274500.0,81.7,4.0,60230,CHAMBLY,CHAMBLY,CHAMBLY,ancien,3359.8531211750305,CHAMBLY,60139
Hauts-de-France,logicimmo,Terrain avec maison neuve à vendre 225 000 € 4 pièces 3 chambres 73 m² 400 m² de terrain Bregy 60440,,,225000.0,73.0,4.0,60440,BREGY,BOISSY FRESNOY,BOISSY FRESNOY,ancien,3082.1917808219177,BOISSY FRESNOY,60079
Hauts-de-France,logicimmo,Maison à vendre 350 000 € 6 pièces 4 chambres 105 m² 100 m² de terrain Flers Breucq-Start Babylone-Recueil Villeneuve-d'Ascq 59491,,,350000.0,105.0,6.0,59491,VILLENEUVE,VILLENEUVE D ASCQ,VILLENEUVE D ASCQ,ancien,3333.3333333333335,VILLENEUVE D ASCQ,59009
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 303 000 € 3 pièces 2 chambres 61,1 m² dès le 22/05/2028 Sainte Helene Saint-André-Lez-Lille 59350",,,303000.0,61.1,3.0,59350,SAINT,ST ANDRE LEZ LILLE,ST ANDRE LEZ LILLE,neuf,4959.083469721768,ST ANDRE LEZ LILLE,59527
Hauts-de-France,logicimmo,Appartement à vendre - neuf 295 000 € 2 pièces 1 chambre 40 m² dès le 31/03/2027 Stella Cucq 62780,,,295000.0,40.0,2.0,62780,CUCQ,CUCQ,CUCQ,neuf,7375.0,CUCQ,62261
Hauts-de-France,logicimmo,Appartement à vendre 315 000 € 4 pièces 2 chambres 93 m² Étage 4/4 Caulier Lille 59800,,,315000.0,93.0,4.0,59800,LILLE,LILLE,LILLE,ancien,3387.0967741935483,LILLE,59350
Hauts-de-France,logicimmo,Appartement à vendre 388 500 € 3 pièces 2 chambres 71 m² 1er étage Centre Lille 59800,,,388500.0,71.0,3.0,59800,LILLE,LILLE,LILLE,ancien,5471.830985915493,LILLE,59350
Hauts-de-France,logicimmo,Appartement à vendre 368 000 € 3 pièces 2 chambres 85 m² Étage 1/7 Centre Lille 59000,,,368000.0,85.0,3.0,59000,LILLE,LILLE,LILLE,ancien,4329.411764705882,LILLE,59350
Hauts-de-France,logicimmo,Appartement à vendre 96 300 € 3 pièces 2 chambres 65 m² 10ème étage Hem 59510,,,96300.0,65.0,3.0,59510,HEM,FOREST SUR MARQUE,FOREST SUR MARQUE,ancien,1481.5384615384614,FOREST SUR MARQUE,59247
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 194 000 € 2 pièces 1 chambre 41,3 m² 2ème étage Rigollot-Roublot-Carrières Fontenay-sous-Bois 94120",,,194000.0,41.3,2.0,94120,FONTENAY,FONTENAY SOUS BOIS,FONTENAY SOUS BOIS,neuf,4697.336561743342,FONTENAY SOUS BOIS,94033
Hauts-de-France,logicimmo,"Maison de plain-pied à vendre 378 000 € 6 pièces 5 chambres 136,6 m² 622 m² de terrain Le Mesnil en Thelle 60530",,,378000.0,136.6,6.0,60530,THELLE,CROUY EN THELLE,CROUY EN THELLE,ancien,2767.203513909224,CROUY EN THELLE,60185
